"product","sub_product","issue","sub_issue","consumer_complaint_narrative","company_public_response","company","state","tags","consumer_consent_provided","submitted_via","date_sent_to_company","company_response_to_consumer","timely_response","consumer_disputed."
"Credit reporting","Blank","Credit reporting company's investigation","Problem with statement of dispute","Yes","Blank","Equifax","FL","Blank","Consent provided","Web","02","Closed with explanation","Yes","Yes"
"Bank account or service","Other bank product/service","Account opening, closing, or management","Blank","Blank","Blank","JPMorgan Chase & Co.","IL","Blank","Blank","Referral","01","Closed with explanation","Yes","Yes"
"Consumer Loan","Installment loan","Managing the loan or lease","Blank","Blank","Blank","Synchrony Financial","TX","Older American","Consent not provided","Web","01","Closed with explanation","Yes","Yes"
"Mortgage","Conventional fixed mortgage","Loan modification,collection,foreclosure","Blank","Yes","Company chooses not to provide a public response","Bank of America","VA","Blank","Consent provided","Web","01","Closed with explanation","Yes","Yes"
"Student loan","Non-federal student loan","Dealing with my lender or servicer","Trouble with how payments are handled","Blank","Blank","Navient Solutions, Inc.","CA","Blank","Consent not provided","Web","01","Closed with explanation","Yes","Yes"
"Credit reporting","Blank","Incorrect information on credit report","Public record","Blank","Blank","Equifax","CO","Servicemember","Consent not provided","Web","01","Closed with explanation","Yes","Yes"
"Mortgage","Conventional fixed mortgage","Loan servicing, payments, escrow account","Blank","Yes","Blank","JPMorgan Chase & Co.","NY","Servicemember","Consent provided","Web","01","Closed with explanation","Yes","Yes"
"Bank account or service","Checking account","Deposits and withdrawals","Blank","Blank","Company chooses not to provide a public response","Citibank","NJ","Blank","Blank","Referral","01","Closed with explanation","Yes","Yes"
"Credit card","Blank","Billing statement","Blank","Yes","Blank","Amex","NJ","Blank","Consent provided","Web","01","Closed with explanation","Yes","Yes"
"Mortgage","Conventional fixed mortgage","Loan servicing, payments, escrow account","Blank","Blank","Company chooses not to provide a public response","Bank of America","WI","Blank","Consent not provided","Web","01","Closed with non-monetary relief","Yes","Yes"
"Mortgage","FHA mortgage","Application, originator, mortgage broker","Blank","Yes","Blank","JPMorgan Chase & Co.","FL","Blank","Consent provided","Web","01","Closed with explanation","Yes","Yes"
"Student loan","Non-federal student loan","Dealing with my lender or servicer","Trouble with how payments are handled","Yes","Blank","Navient Solutions, Inc.","CO","Blank","Consent provided","Web","01","Closed with explanation","Yes","Yes"
"Credit reporting","Blank","Incorrect information on credit report","Information is not mine","Blank","Blank","Equifax","FL","Blank","Consent not provided","Web","01","Closed with explanation","Yes","Yes"
"Credit card","Blank","APR or interest rate","Blank","Blank","Blank","JPMorgan Chase & Co.","MI","Blank","Consent not provided","Web","01","Closed with explanation","Yes","Yes"
"Credit reporting","Blank","Incorrect information on credit report","Reinserted previously deleted info","Yes","Company chooses not to provide a public response","Experian","FL","Blank","Consent provided","Web","01","Closed with explanation","Yes","Yes"
"Credit reporting","Blank","Incorrect information on credit report","Information is not mine","Blank","Blank","Equifax","CA","Older American","Consent not provided","Web","01","Closed with explanation","Yes","Yes"
"Credit reporting","Blank","Incorrect information on credit report","Information is not mine","Yes","Company chooses not to provide a public response","TransUnion Intermediate Holdings, Inc.","TX","Blank","Consent provided","Web","01","Closed with explanation","Yes","Yes"
"Credit reporting","Blank","Incorrect information on credit report","Information is not mine","Yes","Company chooses not to provide a public response","TransUnion Intermediate Holdings, Inc.","FL","Blank","Consent provided","Web","01","Closed with non-monetary relief","Yes","Yes"
"Mortgage","Other mortgage","Loan modification,collection,foreclosure","Blank","Yes","Blank","Capital One","VA","Blank","Consent provided","Web","01","Closed with explanation","Yes","Yes"
"Mortgage","Conventional fixed mortgage","Application, originator, mortgage broker","Blank","Blank","Blank","Ocwen","NJ","Blank","Consent not provided","Web","01","Closed with explanation","Yes","Yes"
"Credit reporting","Blank","Credit reporting company's investigation","Investigation took too long","Blank","Company chooses not to provide a public response","TransUnion Intermediate Holdings, Inc.","GA","Blank","Consent not provided","Web","01","Closed with explanation","Yes","Yes"
"Credit reporting","Blank","Incorrect information on credit report","Account status","Blank","Company chooses not to provide a public response","Wells Fargo & Company","CA","Blank","Blank","Referral","01","Closed with explanation","Yes","Yes"
"Credit card","Blank","APR or interest rate","Blank","Blank","Company chooses not to provide a public response","Citibank","CA","Blank","Blank","Referral","02","Closed with explanation","Yes","Yes"
"Credit card","Blank","Application processing delay","Blank","Blank","Company chooses not to provide a public response","Wells Fargo & Company","WI","Blank","Blank","Phone","01","Closed with explanation","Yes","Yes"
"Credit reporting","Blank","Incorrect information on credit report","Information is not mine","Blank","Blank","Equifax","MD","Blank","Consent not provided","Web","01","Closed with explanation","Yes","Yes"
"Credit reporting","Blank","Incorrect information on credit report","Public record","Blank","Blank","Equifax","TX","Blank","Consent not provided","Web","01","Closed with explanation","Yes","Yes"
"Debt collection","Other (i.e. phone, health club, etc.)","Cont'd attempts collect debt not owed","Debt is not mine","Yes","Blank","Navient Solutions, Inc.","TX","Blank","Consent provided","Web","01","Closed with explanation","Yes","Yes"
"Credit reporting","Blank","Credit reporting company's investigation","Investigation took too long","Yes","Company chooses not to provide a public response","TransUnion Intermediate Holdings, Inc.","WV","Older American, Servicemember","Consent provided","Web","01","Closed with explanation","Yes","Yes"
"Credit card","Blank","Delinquent account","Blank","Yes","Blank","JPMorgan Chase & Co.","MN","Blank","Consent provided","Web","01","Closed with explanation","Yes","Yes"
"Mortgage","Conventional fixed mortgage","Loan modification,collection,foreclosure","Blank","Blank","Company believes it acted appropriately as authorized by contract or law","Select Portfolio Servicing, Inc","CA","Blank","Other","Web","01","Closed with explanation","Yes","Yes"
"Mortgage","Conventional fixed mortgage","Loan modification,collection,foreclosure","Blank","Yes","Company believes it acted appropriately as authorized by contract or law","Ditech Financial LLC","TX","Blank","Consent provided","Web","01","Closed with explanation","Yes","Yes"
"Mortgage","Other mortgage","Loan modification,collection,foreclosure","Blank","Blank","Company chooses not to provide a public response","Bank of America","CA","Blank","Blank","Referral","01","Closed with explanation","Yes","Yes"
"Credit card","Blank","Billing disputes","Blank","Blank","Blank","JPMorgan Chase & Co.","FL","Blank","Blank","Referral","01","Closed with explanation","Yes","Yes"
"Credit reporting","Blank","Improper use of my credit report","Report improperly shared by CRC","Yes","Company chooses not to provide a public response","TransUnion Intermediate Holdings, Inc.","NE","Blank","Consent provided","Web","02","Closed with explanation","Yes","Yes"
"Bank account or service","Checking account","Using a debit or ATM card","Blank","Yes","Blank","JPMorgan Chase & Co.","IL","Blank","Consent provided","Web","01","Closed with explanation","Yes","Yes"
"Credit card","Blank","Transaction issue","Blank","Yes","Company chooses not to provide a public response","Citibank","CO","Older American","Consent provided","Web","01","Closed with explanation","Yes","Yes"
"Credit reporting","Blank","Unable to get credit report/credit score","Problem getting report or credit score","Blank","Blank","Equifax","KY","Blank","Consent not provided","Web","01","Closed with explanation","Yes","Yes"
"Credit reporting","Blank","Incorrect information on credit report","Account status","Blank","Blank","Equifax","OR","Blank","Consent not provided","Web","01","Closed with explanation","Yes","Yes"
"Credit card","Blank","Closing/Cancelling account","Blank","Blank","Blank","Synchrony Financial","TN","Blank","Blank","Referral","01","Closed with explanation","Yes","Yes"
"Credit card","Blank","Billing disputes","Blank","Blank","Blank","JPMorgan Chase & Co.","NY","Blank","Consent not provided","Web","01","Closed with explanation","Yes","Yes"
"Credit card","Blank","Billing disputes","Blank","Blank","Company chooses not to provide a public response","Bank of America","NY","Older American","Consent not provided","Web","01","Closed with monetary relief","Yes","Yes"
"Mortgage","Other mortgage","Application, originator, mortgage broker","Blank","Blank","Company chooses not to provide a public response","Citibank","OK","Blank","Blank","Referral","01","Closed with explanation","Yes","Yes"
"Credit card","Blank","Credit card protection / Debt protection","Blank","Blank","Blank","Amex","NY","Blank","Consent not provided","Web","01","Closed with explanation","Yes","Yes"
"Debt collection","Credit card","Disclosure verification of debt","Not given enough info to verify debt","Yes","Blank","JPMorgan Chase & Co.","CA","Older American, Servicemember","Consent provided","Web","01","Closed with explanation","Yes","Yes"
"Student loan","Non-federal student loan","Can't repay my loan","Can't decrease my monthly payments","Blank","Blank","Navient Solutions, Inc.","NJ","Blank","Consent not provided","Web","02","Closed with explanation","Yes","Yes"
"Credit card","Blank","APR or interest rate","Blank","Yes","Blank","Synchrony Financial","PA","Blank","Consent provided","Web","01","Closed with explanation","Yes","Yes"
"Mortgage","Conventional fixed mortgage","Loan modification,collection,foreclosure","Blank","Blank","Blank","Nationstar Mortgage","NY","Blank","Consent not provided","Web","01","Closed with explanation","Yes","Yes"
"Mortgage","FHA mortgage","Settlement process and costs","Blank","Yes","Company chooses not to provide a public response","Wells Fargo & Company","CA","Blank","Consent provided","Web","02","Closed with explanation","Yes","Yes"
"Bank account or service","Checking account","Problems caused by my funds being low","Blank","Yes","Company chooses not to provide a public response","Citibank","MI","Blank","Consent provided","Web","01","Closed with explanation","Yes","Yes"
"Credit card","Blank","Delinquent account","Blank","Yes","Blank","Capital One","CA","Blank","Consent provided","Web","01","Closed with explanation","Yes","Yes"
"Mortgage","Other mortgage","Loan servicing, payments, escrow account","Blank","Blank","Blank","Nationstar Mortgage","GA","Blank","Blank","Referral","01","Closed with explanation","Yes","Yes"
"Debt collection","Credit card","Disclosure verification of debt","Not given enough info to verify debt","Yes","Company chooses not to provide a public response","Wells Fargo & Company","DE","Blank","Consent provided","Web","01","Closed with explanation","Yes","Yes"
"Bank account or service","Cashing a check without an account","Deposits and withdrawals","Blank","Yes","Blank","JPMorgan Chase & Co.","CA","Blank","Consent provided","Web","01","Closed with explanation","Yes","Yes"
"Bank account or service","Checking account","Problems caused by my funds being low","Blank","Yes","Blank","JPMorgan Chase & Co.","IL","Blank","Consent provided","Web","02","Closed with monetary relief","Yes","Yes"
"Mortgage","FHA mortgage","Loan servicing, payments, escrow account","Blank","Yes","Blank","JPMorgan Chase & Co.","MI","Blank","Consent provided","Web","01","Closed with explanation","Yes","Yes"
"Prepaid card","General purpose card","Managing, opening, or closing account","Blank","Yes","Blank","Amex","TX","Servicemember","Consent provided","Web","01","Closed with explanation","Yes","Yes"
"Mortgage","Other mortgage","Loan servicing, payments, escrow account","Blank","Yes","Company believes it acted appropriately as authorized by contract or law","Ditech Financial LLC","SC","Blank","Consent provided","Web","02","Closed with explanation","Yes","Yes"
"Credit reporting","Blank","Credit reporting company's investigation","No notice of investigation status/result","Yes","Blank","Equifax","MD","Blank","Consent provided","Web","01","Closed with explanation","Yes","Yes"
"Credit card","Blank","Other","Blank","Yes","Company chooses not to provide a public response","Citibank","CA","Blank","Consent provided","Web","01","Closed with non-monetary relief","Yes","Yes"
"Mortgage","Conventional fixed mortgage","Loan modification,collection,foreclosure","Blank","Blank","Company chooses not to provide a public response","Wells Fargo & Company","NY","Blank","Blank","Phone","01","Closed with explanation","Yes","Yes"
"Mortgage","Conventional fixed mortgage","Loan servicing, payments, escrow account","Blank","Yes","Blank","Nationstar Mortgage","CA","Blank","Consent provided","Web","01","Closed","Yes","Yes"
"Debt collection","Federal student loan","Cont'd attempts collect debt not owed","Debt is not mine","Blank","Company chooses not to provide a public response","Navient Solutions, Inc.","NC","Blank","Consent not provided","Web","01","Closed with explanation","Yes","Yes"
"Credit reporting","Blank","Incorrect information on credit report","Account status","Blank","Company chooses not to provide a public response","TransUnion Intermediate Holdings, Inc.","FL","Blank","Blank","Postal mail","01","Closed with non-monetary relief","Yes","Yes"
"Credit reporting","Blank","Improper use of my credit report","Report improperly shared by CRC","Yes","Blank","Equifax","NC","Blank","Consent provided","Web","01","Closed with explanation","Yes","Yes"
"Credit reporting","Blank","Incorrect information on credit report","Public record","Yes","Company chooses not to provide a public response","Experian","PA","Blank","Consent provided","Web","01","Closed with explanation","Yes","Yes"
"Credit reporting","Blank","Incorrect information on credit report","Account terms","Yes","Company chooses not to provide a public response","TransUnion Intermediate Holdings, Inc.","NC","Blank","Consent provided","Web","01","Closed with non-monetary relief","Yes","Yes"
"Mortgage","FHA mortgage","Loan modification,collection,foreclosure","Blank","Blank","Blank","Nationstar Mortgage","WA","Blank","Consent not provided","Web","01","Closed with explanation","Yes","Yes"
"Credit reporting","Blank","Improper use of my credit report","Report improperly shared by CRC","Yes","Company chooses not to provide a public response","Experian","NC","Blank","Consent provided","Web","01","Closed with non-monetary relief","Yes","Yes"
"Credit card","Blank","Delinquent account","Blank","Yes","Company chooses not to provide a public response","Citibank","OR","Blank","Consent provided","Web","01","Closed with monetary relief","Yes","Yes"
"Credit reporting","Blank","Incorrect information on credit report","Account status","Blank","Company chooses not to provide a public response","TransUnion Intermediate Holdings, Inc.","AL","Blank","Blank","Postal mail","01","Closed with explanation","Yes","Yes"
"Credit card","Blank","Other","Blank","Yes","Blank","Amex","NJ","Blank","Consent provided","Web","01","Closed with explanation","Yes","Yes"
"Credit reporting","Blank","Credit reporting company's investigation","No notice of investigation status/result","Yes","Company chooses not to provide a public response","Experian","TX","Blank","Consent provided","Web","01","Closed with non-monetary relief","Yes","Yes"
"Credit reporting","Blank","Incorrect information on credit report","Reinserted previously deleted info","Yes","Blank","Equifax","CA","Blank","Consent provided","Web","01","Closed with explanation","Yes","Yes"
"Credit reporting","Blank","Improper use of my credit report","Report improperly shared by CRC","Yes","Company chooses not to provide a public response","TransUnion Intermediate Holdings, Inc.","NC","Blank","Consent provided","Web","01","Closed with explanation","Yes","Yes"
"Credit reporting","Blank","Incorrect information on credit report","Account status","Blank","Company chooses not to provide a public response","Experian","MD","Blank","Consent not provided","Web","01","Closed with explanation","Yes","Yes"
"Credit card","Blank","Unsolicited issuance of credit card","Blank","Blank","Blank","Amex","CA","Blank","Consent not provided","Web","01","Closed with explanation","Yes","Yes"
"Credit reporting","Blank","Incorrect information on credit report","Account terms","Yes","Blank","Equifax","TX","Blank","Consent provided","Web","01","Closed with explanation","Yes","Yes"
"Mortgage","Conventional fixed mortgage","Loan servicing, payments, escrow account","Blank","Yes","Blank","Ocwen","IL","Servicemember","Consent provided","Web","01","Closed with explanation","Yes","Yes"
"Debt collection","Credit card","Improper contact or sharing of info","Talked to a third party about my debt","Blank","Blank","Portfolio Recovery Associates, Inc.","CA","Blank","Consent not provided","Web","01","Closed with explanation","Yes","Yes"
"Mortgage","Conventional adjustable mortgage (ARM)","Loan modification,collection,foreclosure","Blank","Yes","Company chooses not to provide a public response","Bank of America","NC","Older American","Consent provided","Web","01","Closed with explanation","Yes","Yes"
"Credit card","Blank","APR or interest rate","Blank","Yes","Blank","Synchrony Financial","NY","Blank","Consent provided","Web","01","Closed with explanation","Yes","Yes"
"Credit reporting","Blank","Incorrect information on credit report","Reinserted previously deleted info","Yes","Company chooses not to provide a public response","Experian","NY","Blank","Consent provided","Web","01","Closed with explanation","Yes","Yes"
"Credit reporting","Blank","Incorrect information on credit report","Information is not mine","Yes","Company chooses not to provide a public response","TransUnion Intermediate Holdings, Inc.","FL","Blank","Consent provided","Web","01","Closed with explanation","Yes","Yes"
"Bank account or service","Other bank product/service","Account opening, closing, or management","Blank","Yes","Blank","PNC Bank N.A.","DC","Blank","Consent provided","Web","01","Closed with explanation","Yes","Yes"
"Credit reporting","Blank","Improper use of my credit report","Report improperly shared by CRC","Blank","Blank","Equifax","MI","Blank","Consent not provided","Web","01","Closed with explanation","Yes","Yes"
"Mortgage","FHA mortgage","Loan modification,collection,foreclosure","Blank","Yes","Blank","JPMorgan Chase & Co.","PA","Blank","Consent provided","Web","01","Closed with explanation","Yes","Yes"
"Bank account or service","(CD) Certificate of deposit","Account opening, closing, or management","Blank","Blank","Blank","Synchrony Financial","NJ","Blank","Blank","Referral","01","Closed with explanation","Yes","Yes"
"Bank account or service","Checking account","Problems caused by my funds being low","Blank","Yes","Company chooses not to provide a public response","Wells Fargo & Company","DE","Blank","Consent provided","Web","01","Closed with monetary relief","Yes","Yes"
"Mortgage","FHA mortgage","Loan modification,collection,foreclosure","Blank","Yes","Blank","Nationstar Mortgage","GA","Blank","Consent provided","Web","01","Closed with explanation","Yes","Yes"
"Mortgage","Home equity loan or line of credit","Loan modification,collection,foreclosure","Blank","Yes","Company chooses not to provide a public response","Bank of America","NV","Blank","Consent provided","Web","01","Closed with non-monetary relief","Yes","Yes"
"Mortgage","Other mortgage","Loan servicing, payments, escrow account","Blank","Yes","Company chooses not to provide a public response","Wells Fargo & Company","Blank","Older American","Consent provided","Web","01","Closed with explanation","Yes","Yes"
"Consumer Loan","Vehicle loan","Taking out the loan or lease","Blank","Blank","Blank","JPMorgan Chase & Co.","AL","Blank","Other","Web","01","Closed with explanation","Yes","Yes"
"Credit reporting","Blank","Incorrect information on credit report","Account status","Yes","Blank","Equifax","NV","Older American","Consent provided","Web","01","Closed with explanation","Yes","Yes"
"Credit reporting","Blank","Incorrect information on credit report","Information is not mine","Yes","Blank","Equifax","TN","Older American","Consent provided","Web","01","Closed with explanation","Yes","Yes"
"Credit reporting","Blank","Credit reporting company's investigation","Problem with statement of dispute","Blank","Company chooses not to provide a public response","Experian","OH","Blank","Consent not provided","Web","01","Closed with explanation","Yes","Yes"
"Mortgage","Conventional adjustable mortgage (ARM)","Settlement process and costs","Blank","Yes","Company believes it acted appropriately as authorized by contract or law","Ditech Financial LLC","CA","Blank","Consent provided","Web","01","Closed with explanation","Yes","Yes"
"Credit reporting","Blank","Incorrect information on credit report","Public record","Blank","Blank","Equifax","NC","Blank","Consent not provided","Web","01","Closed with explanation","Yes","Yes"
"Credit reporting","Blank","Incorrect information on credit report","Information is not mine","Yes","Blank","Equifax","TN","Blank","Consent provided","Web","01","Closed with explanation","Yes","Yes"
"Debt collection","Credit card","False statements or representation","Attempted to collect wrong amount","Yes","Blank","Portfolio Recovery Associates, Inc.","GA","Servicemember","Consent provided","Web","01","Closed with explanation","Yes","Yes"
"Credit card","Blank","Billing disputes","Blank","Yes","Blank","JPMorgan Chase & Co.","CO","Older American","Consent provided","Web","01","Closed with explanation","Yes","Yes"
"Credit reporting","Blank","Credit reporting company's investigation","Problem with statement of dispute","Blank","Blank","Equifax","NY","Blank","Consent not provided","Web","01","Closed with explanation","Yes","Yes"
"Student loan","Non-federal student loan","Dealing with my lender or servicer","Having problems with customer service","Yes","Blank","Navient Solutions, Inc.","MN","Blank","Consent provided","Web","01","Closed with explanation","Yes","Yes"
"Bank account or service","Other bank product/service","Making/receiving payments, sending money","Blank","Yes","Blank","Nationstar Mortgage","TN","Blank","Consent provided","Web","01","Closed with explanation","Yes","Yes"
"Credit card","Blank","Closing/Cancelling account","Blank","Blank","Blank","JPMorgan Chase & Co.","TX","Blank","Consent not provided","Web","01","Closed with explanation","Yes","Yes"
"Credit reporting","Blank","Incorrect information on credit report","Account status","Blank","Company chooses not to provide a public response","Experian","MD","Blank","Consent not provided","Web","01","Closed with non-monetary relief","Yes","Yes"
"Student loan","Non-federal student loan","Dealing with my lender or servicer","Trouble with how payments are handled","Yes","Blank","JPMorgan Chase & Co.","MI","Blank","Consent provided","Web","02","Closed with explanation","Yes","Yes"
"Credit card","Blank","APR or interest rate","Blank","Yes","Blank","Capital One","CA","Blank","Consent provided","Web","01","Closed with explanation","Yes","Yes"
"Credit reporting","Blank","Incorrect information on credit report","Account terms","Blank","Company chooses not to provide a public response","TransUnion Intermediate Holdings, Inc.","NJ","Blank","Consent not provided","Web","01","Closed with explanation","Yes","Yes"
"Credit reporting","Blank","Incorrect information on credit report","Information is not mine","Blank","Company chooses not to provide a public response","Experian","OH","Blank","Consent not provided","Web","01","Closed with non-monetary relief","Yes","Yes"
"Consumer Loan","Vehicle loan","Problems when you are unable to pay","Blank","Blank","Blank","JPMorgan Chase & Co.","OR","Blank","Blank","Referral","02","Closed with explanation","Yes","Yes"
"Credit card","Blank","Balance transfer","Blank","Yes","Blank","PNC Bank N.A.","NJ","Blank","Consent provided","Web","01","Closed with explanation","Yes","Yes"
"Credit card","Blank","Advertising and marketing","Blank","Blank","Blank","Amex","CT","Blank","Consent not provided","Web","01","Closed with explanation","Yes","Yes"
"Credit reporting","Blank","Incorrect information on credit report","Information is not mine","Blank","Blank","Equifax","WA","Blank","Consent not provided","Web","01","Closed with explanation","Yes","Yes"
"Mortgage","Conventional fixed mortgage","Loan modification,collection,foreclosure","Blank","Blank","Company chooses not to provide a public response","Wells Fargo & Company","NC","Blank","Other","Web","01","Closed with explanation","Yes","Yes"
"Mortgage","Other mortgage","Loan servicing, payments, escrow account","Blank","Yes","Company believes complaint is the result of an isolated error","Ditech Financial LLC","CA","Older American","Consent provided","Web","01","Closed with explanation","Yes","Yes"
"Bank account or service","Savings account","Account opening, closing, or management","Blank","Yes","Company chooses not to provide a public response","Wells Fargo & Company","FL","Older American","Consent provided","Web","01","Closed with explanation","Yes","Yes"
"Mortgage","Home equity loan or line of credit","Loan servicing, payments, escrow account","Blank","Yes","Blank","JPMorgan Chase & Co.","NY","Blank","Consent provided","Web","01","Closed with explanation","Yes","Yes"
"Credit reporting","Blank","Incorrect information on credit report","Information is not mine","Blank","Blank","Equifax","OK","Older American","Consent not provided","Web","01","Closed with explanation","Yes","Yes"
"Mortgage","Other mortgage","Loan modification,collection,foreclosure","Blank","Yes","Blank","Ocwen","TX","Blank","Consent provided","Web","01","Closed with explanation","Yes","Yes"
"Credit reporting","Blank","Credit reporting company's investigation","Problem with statement of dispute","Blank","Blank","Equifax","MO","Blank","Consent not provided","Web","01","Closed with explanation","Yes","Yes"
"Student loan","Non-federal student loan","Can't repay my loan","Can't get flexible payment options","Yes","Blank","Navient Solutions, Inc.","OH","Blank","Consent provided","Web","01","Closed with explanation","Yes","Yes"
"Mortgage","FHA mortgage","Loan servicing, payments, escrow account","Blank","Blank","Blank","Nationstar Mortgage","WA","Blank","Consent not provided","Web","01","Closed with explanation","Yes","Yes"
"Bank account or service","Checking account","Account opening, closing, or management","Blank","Blank","Blank","Amex","GA","Blank","Consent not provided","Web","01","Closed with explanation","Yes","Yes"
"Credit card","Blank","Credit card protection / Debt protection","Blank","Blank","Blank","JPMorgan Chase & Co.","NC","Blank","Consent not provided","Web","01","Closed with explanation","Yes","Yes"
"Credit reporting","Blank","Incorrect information on credit report","Personal information","Blank","Company chooses not to provide a public response","Experian","OR","Blank","Consent not provided","Web","01","Closed with explanation","Yes","Yes"
"Credit reporting","Blank","Incorrect information on credit report","Account terms","Blank","Blank","Equifax","WA","Blank","Consent not provided","Web","01","Closed with explanation","Yes","Yes"
